发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
金寨长安,06月01日07:56,来自小米10," //@六安反邪教:“一条大河波浪宽，风吹稻花香两岸……”这段音频，是袁隆平爷爷离世前家人唱给他听的。爷爷一直是个爱欢笑，爱热闹的人，这一次也不例外……家人说，“他走得很安详,是笑着走的。”",0,0,0,0
拱墅检察,06月01日07:46,来自微博视频号, 【他们，才是#中国人最该追的星#！致敬！】“憋着一肚子气”搞导弹研发的钱学森、“要求自己鞠躬尽瘁”的中国第一代核潜艇总师黄旭华、为杂交水稻奉献一生的袁隆平……他们在不同领域呕心沥血，无愧为国之脊梁！今天，#全国科技工作者日#。发条微博，致敬科技工作者！via.人民日报L人民日报的微博视频  ,0,6,4,14
未来网,06月01日07:30,来自微博weibo.com, 【你小时候的理想实现了吗】每个孩子都有自己的理想，想要实现理想难不难？袁隆平，吴孟超，屠呦呦告诉我们，很难。但他们坚持不懈，力破万难，最终实现了自己的梦。张桂梅，莫言告诉我们，要不忘初心。援鄂抗疫医疗队和九江市消防救援支队告诉我们，要坚定信念。你们儿时的理想实现了吗？#生当少年心怀理想# #没有手机和wifi的童年#  ,0,68,26,307
石家庄图书馆,06月01日11:58,来自微博视频号, ▍#袁隆平宋应星跨越300多年的握手#古有宋应星，今有袁隆平！L山东省图书馆的微博视频​​​,0,0,3,2
天心发布,06月01日11:34,来自微博视频号, 【#大叔受袁隆平影响建米升博物馆#：袁老曾有一句话让他感动不已】长沙市民杨杰喜爱米升，受袁隆平的影响与鼓励决定成立一个米升博物馆，如今馆藏已近2万。杨杰回忆，袁老来参观时见自己的雕像被摆在台上，称自己只是一个农民，需脚踏实地，将他雕像摆在红台上不好，这让他会下不得台。L一手Video的微博视频  ,0,1,1,5
山东省图书馆,06月01日11:02,来自微博视频号, ▍#袁隆平宋应星跨越300多年的握手#看哭了！古有宋应星，今有袁隆平！L山东省图书馆的微博视频​,0,12,2,95
萧山检察,06月01日10:56,来自微博视频号, 【他们，才是#中国人最该追的星#！致敬！】“憋着一肚子气”搞导弹研发的钱学森、“要求自己鞠躬尽瘁”的中国第一代核潜艇总师黄旭华、为杂交水稻奉献一生的袁隆平……他们在不同领域呕心沥血，无愧为国之脊梁！今天，#全国科技工作者日#。发条微博，致敬科技工作者！via.人民日报L人民日报的微博视频  ,0,0,8,2
文明青白江,06月01日10:35,来自微博视频号, 【用农业人的方式缅怀您#80后新农人在稻田栽出中国二字#】袁隆平院士逝世后，大家用不同的方式追思缅怀袁老。近日，陕西安康平利县广佛镇柳林子村村民黎霖，在自家面积3.09亩的稻田里栽出了“中国”二字，作为一名80后新农人，她说想用农业人自己的方式悼念袁老。L陕视新闻的微博视频​,0,1,0,0
无锡日报,06月01日10:31,来自微博weibo.com, 【致敬“杂交水稻之父”#袁隆平无锡惠山泥塑完成#】“杂交水稻之父”袁隆平院士逝世之后，为了表达无锡人最真切的哀思，与袁老有着数面之缘的无锡人张文，策划了用惠山泥为袁老塑像的系列行动，短短一周时间，第一尊袁隆平惠山泥塑就完成了，记者了解到，这座塑像将与一首专为袁老创作的歌曲一起被送到湖南长沙。#点赞无锡#  ,0,1,0,8
文海艺淀,06月01日10:29,来自360安全浏览器, 【征文启事】征文启事经友好协商，广西壮象木业有限公司和北京市海淀区作家协会将联合举办“稻子的故事”：纪念袁隆平院士诗歌征稿活动。一.	活动初心“禾下乘凉梦，让国人吃饱饭”是袁隆平院士的毕生所愿。国士无双，大爱长存，国人在悲痛缅怀之余，竞相以各种方式追悼袁老，诗人们更是拿起手中的笔，把哀思一一写下，以此表达诗人对袁老的敬仰和怀念之情。为纪念袁隆平院士，弘扬中华民族自力更生，珍爱粮食，关注自然，重视生态的优良传统，广西壮象木业有限公司特联合北京海淀作家协会、广西融安县文学艺术界联合会共同举办纪念袁隆平院士诗歌征稿活动，现面向全国诗人及诗歌爱好者诚挚征稿。无论您是诗人还是打工者，无论您是企业家还是农民，无论您是白领还是宝妈，都可以把自己的真实感情抒写出来，我们热切期待您的来稿。二.主办单位：广西壮象木业有限公司协办单位：北京市海淀作家协会三.举办时间：从2021年6月6日开始至2021年6月28日止(以邮件发送时间为准)。四.征稿对象：全国诗人及诗歌爱好者。五.征稿内容及要求1.主要围绕纪念袁隆平院士，另外关于粮食，关于土地，关于自然，关于奋斗的范围都可以纳入其中。征集邮箱：2249273652@qq.com活动时间：2021年6月6日-6月28日六.赛制要求：1.	应征作品为新诗，旧体诗不在本次大赛征稿范围内。围绕主题，每位诗歌创作者限投单篇诗作2首或者组诗1组，投稿作品必须是未通过任何媒介发表过的原创新诗作品。单首诗歌不超过30行。组诗不超过三首，总行数不超过100行。2.	投稿以“作者姓名+诗作题目”为邮件标题，诗作以附件形式发送（所有作品匿名评审，附件中不能出现相关个人信息），作者个人信息请在邮件正文中注明（包括真实姓名及常用笔名、通讯地址、联系电话、邮箱等）。3.	出现抄袭、已发表过等非原创情况，投稿者文责自负，承担相关后果。4.	凡参与应征作品，作品版权由主办方所有。5.	优秀作品将在相应平台上发表。6.	评审团：由北京市海淀作协作家组成。7、此活动不收取任何费用，对优秀作品将给予奖励。所征诗歌经过初评和复评，届时将在广西融安县举办诗歌征集结果发布大会，部分优秀作者将被邀请参加，媒体将进行适时报道。有关公证机关将全程参与，确保活动公开、透明、公正，合法。所有获得奖励作品主办方可用于出版，或展览以及相关活动展示，不再另付稿酬。广西壮象木业有限公司北京市海淀区作家协会2021年6月1日欢迎大家积极踊跃参与。北京海淀#征文# #诗歌# #比赛# #袁隆平#  ,0,1,0,2
