发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数,verified_reason,description
青春山东,05月25日07:44,来自青春山东超话, #唱支歌儿给党听#|《种子》“我觉得人就像一颗种子。要做一颗好种子，身体、精神、感情都要健康。种子健康了，我们每个人的事业才能根深叶茂，枝粗果硕。”——袁隆平​#山东团团的准点早安#(火树银花的花大侠)L青春山东的微博视频​,0,8,47,47,共青团山东省委员会官方微博,有态度，有温度，有意思！
江苏省高级人民法院,05月22日12:37,来自HUAWEIMate10Pro, 【多方证实：#袁隆平去世消息不实#】5月22日上午，人民日报记者从湖南省委宣传部、中国工程院和袁隆平院士秘书处等多个渠道证实，网上关于袁隆平逝世的消息不实，袁隆平院士目前在医院接受治疗。​,0,0,0,3,江苏省高级人民法院官方微博,单位地址: 江苏省南京市宁海路75号
邯山区电视台,05月24日10:47,来自微博视频号, #送别袁老#【#袁老给我们留下了什么#】造福世界的技术、攻坚克难的勇气、乐观豁达的心态、低调谦逊的美德、还有他未竟的梦想……“风吹过稻田我就想起你”“以后，我们帮您把种子撒向更远方”……#91秒追忆袁隆平#↓↓#袁隆平院士遗体送别#仪式将于今天举行。一起送别袁老，先生千古！#学生坐轮椅来送别自己的偶像袁爷爷#L邯山区电视台的微博视频  ,0,0,0,1,邯郸市邯山区广播电视台,
西部网,05月23日14:52,来自微博视频号, 【#新闻联播里的袁隆平吴孟超生前影像#】5月22日，共和国一日之内痛失袁隆平、吴孟超两位院士。再看一次昨晚#新闻联播#中的这些画面↓↓↓送别袁老，送别吴老！我们会永远记住你们，最闪亮的星！L央视新闻的微博视频​,0,0,0,9,西部网（陕西新闻网）www.cnwest.com官方微博,西部网（陕西新闻网）http://www.cnwest.com/ 是在陕西省委、省政府领导下，由省委宣传部主管主办、陕西广播电视台承办的陕西新闻门户网站，也是我…
成都市场监管,05月23日11:11,来自微博视频号, ​​​​#对袁老你有什么记忆#【一条大河波浪宽，风吹稻花香两岸】据报道，#袁隆平院士去世时是安详的#，家人们陪在他身边唱着《红梅花儿开》《我和我的祖国》等袁老喜欢的歌曲，送他离去。今夜，转发这首歌，点亮悼念小白花，一起送别袁老！L人民日报的微博视频​​​,0,0,0,0,成都市市场监督管理局官方微博,
嘉兴秀洲公安,05月23日18:28,, #平安2021#//@嘉兴公安:【#新闻联播里的袁隆平吴孟超生前影像#】//@浙江公安:【#新闻联播里的袁隆平吴孟超生前影像#】,0,0,0,0,浙江嘉兴市秀洲公安分局官方微博,这是嘉兴市秀洲公安官方微博，在这里您可以了解到秀洲公安资讯。欢迎您提出宝贵意见及建议！ 温馨提示：本微博不做报警平台使用！报警求助请拨打110。
涿州发布,05月24日15:43,来自iPhone客户端, 【今天，一起#送别袁老#】24日上午，#袁隆平院士遗体送别#仪式在长沙举行。转发微博，点亮水稻标记，一起送袁老最后一程：您的禾下乘凉梦，我们会接续努力！先生千古！​​​,0,0,0,0,河北省保定涿州市委宣传部官方微博,涿州历史悠久、人杰地灵、经济发达、文化灿烂、古迹众多。因其独特的地理位置和丰富的历史文化资源，素有“天下第一州”美誉。清朝乾隆皇帝御笔亲题“日边冲要无双地，天下繁难第一州”。　　涿州是一座具有2300多年历史的文化古城，自秦置涿县，汉时设涿郡，三国魏时设范阳郡，唐时为范阳县、涿州，元时为涿州路、涿州，明清时期先后隶属北平府、顺天府，民国时称涿县、隶属北平，现隶属于河北保定市。1986年9月，经国务院批准撤县建市，并被列为甲级开放城市。
徐州发布,05月24日08:37,来自HUAWEIP30, 【今天，一起#送别袁老#】24日上午，#袁隆平院士遗体送别#仪式在长沙举行。转发微博，点亮水稻标记，一起送袁老最后一程：您的禾下乘凉梦，我们会接续努力！先生千古！​​​,0,11,4,14,徐州市人民政府新闻办公室官方微博,
沈铁吉林客运段,05月25日14:02,来自微博weibo.com, 【#科普袁隆平对杂交水稻的贡献#】,0,0,0,1,中国铁路沈阳局集团有限公司吉林客运段,
石家庄网警巡查执法,05月23日16:55,来自微博视频号, #袁隆平遗体送别仪式明天举行#袁隆平团队研究员说，“袁老生前基本每天都去田里，风雨无阻。他看到我们，第一句话就聊杂交水稻，哪怕在吃饭也迫不及待了解田的进展。”生前，袁老曾说：“希望在有生之年，能实现禾下乘凉梦。我没有实现，我的后继人会实现。”网友：请您放心，后辈努力！L央视新闻的微博视频  ,0,3,2,4,石家庄市公安局网络安全保卫支队,网警巡查执法，网络犯罪防范警示提示，网上违法行为告知警示。网上违法犯罪信息举报地址：www.cyberpolice.cn
哈尔滨铁路,05月22日18:28,来自iPhone客户端, #哈铁微分享#【一路走好！#长沙市民雨中送别袁隆平#】泪目！长沙街头市民雨中自发送别袁隆平。众人齐喊“袁爷爷，一路走好”。#长沙市民齐喊袁爷爷一路走好#L红星视频的微博视频#送别国之脊梁袁隆平#​2北京·北京市文化局​,0,2,1,10,中国铁路哈尔滨局集团有限公司官方微博,哈尔滨铁路局官方微博
青海西宁城中团委,05月26日08:11,来自微博视频号, 袁隆平领衔，农学天团Q版出道，你不来康康？（新华网）#以袁隆平Q版形象为主角的科普动画片#L河北共青团的微博视频​​​2西宁​,0,0,0,0,共青团青海省西宁市城中区委员会官方微博,
宿州市教体局,05月22日20:15,来自微博视频号, 【#市民学生送别袁隆平合集#：袁老，您一路走好！】今天，“杂交水稻之父”袁隆平院士逝世，长沙市民在雨中夹道送别，过往车辆自发鸣笛，许多人围着灵车失声痛哭，#西南大学师生为袁隆平雕塑献花#……袁老千古，每个中国人都不会忘记您！#共和国一天痛失两位院士#L人民日报的微博视频​,0,1,0,0,无认证,体育教师
微博贵州,05月24日09:52,来自微博视频号, 【#袁花花常陪袁隆平听汇报#网友：袁花花你要好好长大】这只小猫名叫袁花花，是袁隆平在2020年五一收养的，此后经常陪着袁老听各种汇报。2020年7月，袁隆平家里，学生李建武来汇报各地水稻实验田的亩产情况，袁花花陪伴在旁边。如今，#袁花花再也无法陪袁隆平听汇报了#viaL央视国家记忆的微博视频​  ,0,0,0,2,贵州省互联网信息办公室,欢迎来到贵州省互联网信息办公室官方微博！
靖远融媒,05月24日17:21,来自nova6SE好看拍出来看, 全球连线｜袁隆平，整个世界都会记住您！-新华网O全球连线｜袁隆平，整个世界都会记住您！2白银·靖远县会州广场​,0,0,0,1,靖远县融媒体中心官方微博,
国家智库,05月22日19:13,来自微博视频号," 【#长沙市民雨中送别袁隆平#】5月22日，中国杂交水稻之父#袁隆平逝世#。在湖南省长沙市，市民自发来到中南大学湘雅医院门口，送别袁隆平。运送袁隆平遗体的车队前往殡仪馆的途中，市民高喊“袁爷爷，一路走好！”HundredsofpeopleflockedtothehospitaltosaygoodbyetoYuanLongpingasthehearsecarryinghisbodydroveawayfromXiangyaHospitalinChangsha,HunanProvince.Yuan,“fatherofhybridrice,”diedofillnessSaturdayafternoonattheageof91.L英语环球广播的微博视频  ",0,6,2,22,《国家智库》官方微博,《国家智库》《中国智库》跨越问题表象，致力国家社会发展中长期重要政策的分析研究和探讨。全国书店网店销售。来稿邮箱：kxfzg2008@vip.163.com
图们宣传,05月24日15:43,来自360安全浏览器, 一幅作品缅怀袁隆平的“两个梦想”O一幅作品缅怀袁隆平的“两个梦想”​,0,0,0,0,图们市互联网信息中心官方微博,
芜湖共青团,05月24日13:25,来自iPhone客户端," #袁隆平离世前家人唱我的祖国#【家人在病床前不断唱着袁老喜欢听的歌：“他走得很安详，是笑着走的。”】袁隆平离世前：家人唱《我的祖国》,血压和心率一度回升。家人说，“他走得很安详,是笑着走的。”（新华每日电讯）L参考消息的微博视频​",0,0,0,0,共青团安徽省芜湖市委员会官方微博,
天水麦积发布,05月23日20:08,来自iPhone6sPlus, 稻香泽被华夏英雄本是老农--追记“杂交水稻之父”、中国工程院院士袁隆平O稻香泽被华夏英雄本是老农​,0,0,0,0,甘肃省天水市麦积区委对外宣传官方微博,
环球时报-英文版,05月23日16:04,来自微博视频号, 【袁隆平说没实现的梦想后继有人会实现袁老学生：觉得自己很幸运】袁隆平团队研究员说，“袁老生前基本每天都去田里，风雨无阻。他看到我们，第一句话就聊杂交水稻，哪怕在吃饭也迫不及待了解田的进展......”@海客新闻L海客新闻的秒拍视频​,0,1,2,32,环球时报英文版官方微博,　　《环球时报》英文版 (The Global Times) 创刊于2009年4月，是中国第二份面向全国发行的英语综合性报纸。
吉林政法声音,05月22日16:20,来自微博视频号, 【#袁隆平生前给青少年的寄语#重温，铭记！】“知识是基础，汗水要实践。灵感是思想火花，思想火花人人有，不要放弃它。Chancefavorsthepreparedmind！”今天，#共和国痛失袁隆平院士#。重温这段袁老对青少年的寄语↓↓牢记袁爷爷的叮嘱，奋进自强！致敬，缅怀！L央视新闻的微博视频​,0,0,1,1,吉林省委政法委官方微博,政法事，暖心事，让你涨姿势的事…关注总会让你惊喜。
北京大兴,05月24日09:54,来自微博视频号, 【泪奔！袁隆平亲自作词歌曲《我有一个梦》】“坐在麦穗下乘凉，妈妈我来看您了，妈妈，这种子是您亲手种下……”一粥一饭，当思来处不易；半丝半缕，恒念物力维艰。#袁隆平遗体送别仪式#今天举行，永远怀念！#袁隆平曾用小提琴演奏我的祖国#via:L央视频的微博视频​,0,42,7,233,北京大兴区官方微博,大兴，正以超乎想象的速度，在成为面向京津冀的协同发展示范区、具有全球影响力的科技创新引领区、首都国际交往新门户、城乡发展深化改革先行区的快车道上砥砺前行。
长春新区人民法院,05月24日10:44,来自微博视频号, 【#长沙跑腿小哥帮外地人为袁老送花#：仪式感要一个个完成】5月23日，明阳山殡仪馆外，一位跑腿小哥告诉记者，他接到的鲜花订单分别有来自西安、上海等地。一份份来自全国各地人民对袁隆平院士的悼念和送别，也通过一束束鲜花，传递到每一位长沙市外卖小哥的手中。#长沙有太多的感动了# #每一缕升起的炊烟都是飘自人间的怀念#L果然视频的微博视频  ,0,0,0,0,吉林省长春新区人民法院官方微博,
东方网,05月27日13:15,来自微博视频号," 【#中国人能自由吃瓜离不开这位奶奶#】中国人能自由吃瓜，离不开吴明珠奶奶数十年的研究和奉献。她是袁隆平的同学，两人分别影响了中国的瓜田和稻田。在她50多年的研究中，培育出28个经国家审定的优质瓜种，有耳熟能详的红心脆、香梨黄、小青皮、黑眉毛、香妃蜜瓜、皇后蜜瓜、郁金香甜瓜、金凤凰、绿宝石瓜、麒麟瓜，还有西瓜中的“王牌”—8424西瓜。她总挂在嘴边的话是:“我的人生就是想结几个瓜，把瓜的甘甜献给人民。""@青春山东L青春山东的微博视频  ",0,2,1,15,东方网官方微博,看东方，心翱翔
快看沙雅-,05月24日19:40,来自TRS微博管理平台, 【#送别袁老#：侠之大者，国之仁士】毕其一生，专注田畴，播撒智慧，收获富足。为“稻粱谋”，为民生计，袁隆平无愧侠之大者、国之仁士。袁老，把自己“当做一个过河卒子，拼命前进，永不后退”。如今，接力棒传到了我们这一代人手中，正当追梦不止、前进不止、奋斗不止！#对袁老的最好纪念是传承他的精神#送别袁隆平：侠之大者，国之仁士  ,0,0,0,2,沙雅县融媒体中心官方微博,
凤凰教育edu,05月26日11:10,来自iPhone11Pro, 这是一部以袁隆平爷爷Q版形象为主角的科普动画片#以袁隆平q版形象为主角的科普动画片# #袁隆平Q版形象首次亮相# #院士天团的奇幻旅程#【粮票飞走了？农学天团出道！】粮票“飞走”了？袁隆平在寻找粮票的旅途上，又有怎样的奇遇？他遇到的孙九林、刘守仁、李玉、刘少军、吴明珠、邹学校、程顺和和盖钧镒都是谁？如果你还不认识这些闪亮的名字，那就跟着袁隆平一块，体验这段一镜到底的奇妙旅程吧！L新华网的微博视频  ,0,2,0,6,凤凰网教育频道官方微博,立脚点上求平等，于出头处谋自由。
新浪新闻,05月22日19:12,来自微博视频号, 【#长沙市民排队买花送别袁老#老板：#整个长沙菊花卖断货#】5月22日，湖南长沙。杂交水稻之父#袁隆平逝世#。市民以及全国人民纷纷买花送别袁老，当地花店出现排长队现象。一家花店老板介绍：当地菊花已经断货，白百合、满天星也进不到了。市民和网友还在大量下单，自己也很伤感，没想到袁老突然去世。@沸点视频L沸点视频的微博视频  ,0,105,156,3022,新浪新闻,上新浪新闻客户端，每天了解世界多一点。下载客户端：http://sina.cn/j/d.php?k=87
科技日报,05月24日11:50,来自微博视频号, #袁爷爷一路走好# #缅怀袁隆平#【#通往袁隆平办公室的台阶铺满鲜花#】2021年5月22日，“杂交水稻之父”袁隆平在长沙溘然长逝。惊闻这一噩耗，来自中国各地的民众和袁老的学生纷纷赶到长沙，在湖南杂交水稻研究中心和长沙明阳山殡仪馆，手持鲜花排起长队送别袁老最后一程。在湖南杂交水稻研究中心，前来悼念的民众已经用鲜花铺满了通往袁隆平办公室的台阶，将中间袁隆平书写的“求实创新，奋发进取”紧紧围住。@中新视频L中新视频的微博视频  ,0,2,1,13,《科技日报》官方微博,国家科技领域主流媒体《科技日报》官方微博。
南宁铁路桂林车务段,05月23日20:09,来自微博视频号, 【#长沙市民步行2公里前往殡仪馆#，#花店老板托记者给袁隆平献花#】#长沙上万市民冒雨悼念袁隆平#5月23日，在长沙明阳山殡仪馆路口。尽管小雨淅淅沥沥，但是仍然有大批的市民前往殡仪馆，缅怀袁隆平院士。在距离殡仪馆约2公里的路口，已经有许多市民下车步行前往。路口一家花店的老板告诉记者：“现在已经进不到菊花了。”她将最后的几朵菊花送给了记者，让记者代为悼念袁爷爷。根据袁隆平院士丧事从简的遗愿和当前疫情防控形势，殡仪馆今日不安排接待群众前来悼念，但仍有众多市民自发前往送别。（广州日报·新花城记者：张丹、武威、李波）#袁隆平曾梦见自己在稻穗下乘凉# #袁隆平遗体送别仪式明天举行# #袁隆平雕像前的花海#L广州日报的微博视频  ,0,1,1,1,中国铁路南宁局集团有限公司桂林车务段官方微博,中国铁路南宁局集团有限公司桂林车务段主要管辖衡柳高铁、湘桂铁路线上的车站，客运车站有东安东、全州南、兴安北、永福南、鹿寨北五个，感谢您的关注，我们将竭诚为您服务。
武汉交通广播,05月22日12:43,来自HUAWEIMate40Pro, 【多方证实：#袁隆平去世消息不实#】5月22日上午，从湖南省委宣传部、中国工程院和袁隆平院士秘书处等多个渠道证实，网上关于袁隆平逝世的消息不实，袁隆平院士目前在医院接受治疗。（人民日报）​​​,0,0,0,0,武汉交通广播（FM89.6）官方微博、声动中国最佳创新贡献奖,武汉交通广播（FM89.6） 是武汉市应急广播电台。新闻热线：85766850；85766851。
凤凰网江西频道,05月23日09:41,来自微博weibo.com, #凤眼观赣#【凤凰网今日关注】牢记总书记嘱托江西大地涌动创新潮O牢记总书记嘱托，江西大地涌动创新潮刘奇在赣州市调研：以新时代“第一等工作”加快革命老区高质量发展O刘奇在赣州市调研：以新时代“第一等工作”加快革命老区高质量发展家乡人民永远怀念您镜头中的袁隆平院士O家乡人民永远怀念您江西日报记者镜头中的袁隆平院士洪涝灾害已致江西30.9万人受灾O洪涝灾害已致江西直接经济损失2.7亿元评音乐剧《上镇》丨用“艺术匠心”传唱”工匠精神”O评音乐剧《上镇》丨用“艺术匠心”传唱”工匠精神”更多新闻请关注凤凰网江西频道O凤凰网城市联盟监督电话：010-60675241  ,0,0,0,0,凤凰网江西站官方微博,http://jx.ifeng.com
张家口生态环境发布,05月25日17:01,来自微博视频号, 【#大学生叶雕8幅作品纪念袁隆平#：永远怀念他】江苏淮安，5月24日。“杂交水稻之父”袁隆平院士去世，举国悲痛。大三学生刘奇用17个小时的时间，在树叶上雕刻了袁隆平院士的8幅作品，其中有袁隆平青年时期，中年时期，老年时期的肖像画面，以及“禾下乘凉梦”的主题，每一幅都饱含他对袁隆平院士的纪念。@沸点视频L沸点视频的微博视频  ,0,0,0,0,河北省张家口市环境保护局官方微博,
青聚锦官城,05月23日14:00,来自微博weibo.com, “隆平大哥，你已经将论文写在祖国的大地上！”惊悉袁隆平逝世后，钟南山院士送上简洁而深情的缅怀之辞。#钟南山悼念袁隆平#​​​​​​​,0,0,0,6,中国共产主义青年团成都市委员会官方微博,
湖北日报,05月24日15:25,来自微博视频号, #送别袁老#【悼念者感慨儿时杂交稻产量：一季产量赶以前两季】5月24日，湖南长沙明阳山殡仪馆，一位来自江西万载的民众感慨袁老的杂交稻研究成果，他称自己在上个世纪90年代帮父母种地，当时两季普通稻产量只赶上袁隆平杂交稻一季产量（亩产890斤左右）。在#袁隆平遗体送别仪式#现场，青岛海水稻研究中心副主任张国栋含泪讲述袁老遗愿：希望为中国增加1亿亩良田，多养活8千万人口。#同事含泪讲述袁老遗愿#L新京报我们视频的微博视频  ,0,2,2,19,《湖北日报》官方微博,欢迎伙伴们积极留言或私信提供新闻线索，您的声音是我们最大的动力！新闻热线027-86770308，88567429
平利检察,05月25日16:33,来自微博视频号, 【#长沙花店被曝欺骗买花吊唁网友#同一束花更换卡片被卖给多人】据@河南青年时报援引网友@长沙小点点爆料，有网友反映：很多人在外卖平台长沙花店给袁隆平爷爷买花，结果都被骗了，同一束花换上我们不同人的卡片，在店里拍个照片，鲜花没有送到殡仪馆那边去。L河南青年时报的微博视频​,0,0,0,0,陕西省安康市平利县人民检察院官方微博,强化法律监督 维护公平正义
李昊全球后援会,05月22日18:33,来自李昊超话, 李昊【紧急禁娱公告】今日，“肝胆外科之父”吴孟超和“杂交水稻之父”袁隆平院士相继离世，为缅怀二位先生，李昊全球后援会在此声明禁娱一天，也提醒各位甜桃们注意以下事项：1、超话可正常签到，但禁止发布娱乐性质的帖子2、禁止在敏感话题内带艺人大名或发布不当言论3、如发现不当行为私信劝删李昊全球后援会代表全体甜桃真诚地向逝去的两位院士致以哀思，同时祈愿震区同胞一切平安！  ,0,0,6,5,李昊官方粉丝后援会官方微博,李昊全球后援会官方微博┃了解李昊，请看置顶┃持续招新，入股不亏
内蒙古广播电视台,05月25日16:28,来自未通过审核应用, 【西安男子发布侮辱袁隆平视频，被采取刑事强制措施】分享自腾格里新闻客户端O网页链接​,0,0,0,0,内蒙古人民广播电台官方微博,
芒果都市,05月24日14:22,来自微博视频号, 5月22号，家人们在病床前唱着您最喜欢的《红莓花儿开》，盼望着奇迹的发生，今天，我们在心底齐声唱着这首歌，送您离开……#袁隆平遗体送别仪式#L芒果都市的微博视频​,0,3,0,13,湖南广播电视台都市频道官方微博,湖南都市    美好生活
浦东发布,05月22日13:47,, 【#袁隆平院士逝世#】据新华社，“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平，5月22日13点07分在湖南长沙逝世，享年91岁。袁老，走好！​​​,0,16,27,59,上海市浦东新区人民政府新闻办公室官方微博,浦东的衣食住行、吃喝玩乐、大政小事，点点滴滴。。。这里没有围墙，私信全开放。
北部湾在线,05月24日10:41,来自微博视频号, 【#广西市民连夜驱车到长沙送别袁老#：我挨过饿，懂没饭吃是什么滋味】5月24日，在湖南长沙。不少群众从全国各地，自发前往参加袁隆平院士的遗体送别仪式。来自广西的市民赶来长沙送别袁老“我懂没饭吃是什么滋味”。#袁隆平遗体送别仪式#他用毕生心血，浇灌稻田飘香。粒粒皆辛苦，后辈不敢忘！（长沙政法）L长沙政法频道的微博视频  ,0,0,0,3,广西广播电视台【北部湾在线新媒体】官方微博,广西广播电视台官网【北部湾在线】。新鲜资讯，娱乐八卦，吃喝玩乐，一手掌握！
中国宣汉,05月22日22:58,来自iPhone客户端, #用音乐说晚安#【我有一个梦，想和你一起禾下乘凉】袁隆平曾经做过这样一个梦：水稻比高粱还高，籽粒比花生还大，他就那样坐在稻穗下乘凉……历经半个世纪水稻研究，袁隆平将梦的种子撒向了更远的地方。这是稻田里的中国梦，也是历史长河里的世界梦！L央视一套的微博视频​​​2达州·宣汉县  ,0,0,0,2,四川省达州市宣汉县人民政府官方微博,泱泱中华，百城千县；浩浩雄风，壮哉宣汉。千山巍巍，峙鸾凤而走蛟龙；三河溶溶，沐日月而浸乾坤。雄关要隘，当川陕之孔道；山程水陆，接渝鄂之要津。美丽宣汉欢迎您！
广西沿海铁路,05月24日19:07,来自微博视频号, 【#袁隆平的第三个梦想#】作为“杂交水稻之父”，袁隆平念念不忘的是与水稻相关的3个梦想。“杂交水稻覆盖全球梦”“禾下乘凉梦”之外，袁隆平的第三个梦想，就是希望在我国的盐碱地上种出高产水稻。今天，让我们一起回顾袁老温暖的话语、坚定的承诺，送袁老最后一程！#袁老一路走好#L新华社的微博视频  ,0,1,0,1,广西沿海铁路官方微博,管辖范围内客运站有北海站、钦州东站、合浦站、防城港北站、博白站
参考消息,05月24日07:21,来自微博weibo.com, 【永远怀念！#中国有位袁隆平#】禾下乘凉梦，仓满无饥恐。他用毕生心血，浇灌稻田飘香。今天，发条微博，再送袁老一程！粒粒皆辛苦，后辈不敢忘！#袁隆平遗体送别仪式#​​​​（央视新闻）​,0,69,22,246,《参考消息》官方微博,《参考消息》由新华通讯社主办、参考消息报社编辑出版，创刊于1931年，是中国市场发行量最大的日报。
青流视频,05月22日17:42,来自微博视频号, 【泪目！#数百名民众目送袁隆平院士灵车#齐声高喊：袁爷爷一路走好】5月22日，得知袁隆平院士逝世的消息，数百名民众自发前来@中南大学湘雅医院送别。他们手持花束夹道等待，准备向袁老告别，献上自己的哀思。当灵车从地下通道缓缓驶出时，现场民众齐声高喊：袁爷爷一路走好！令人泪目……（北青-北京头条编辑张静雅）L青流视频的秒拍视频  ,0,5,3,23,北京青年报、北京头条官方视频发布平台,北京青年报、北京头条视频官方微博
