发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
四川观察新闻眼,06月06日00:20,来自iPhone客户端, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！@四川观察L四川观察的微博视频​,0,0,1,3
四川观察在现场,06月06日00:19,来自iPhone客户端, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！@四川观察L四川观察的微博视频​,0,0,0,2
四川观察新视线,06月06日00:19,来自iPhone客户端, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！@四川观察L四川观察的微博视频​,0,0,0,4
熊猫胖达说,06月06日00:17,来自iPhone客户端, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！@四川观察L四川观察的微博视频​,0,0,0,1
四川电视台新闻现场,06月06日00:17,来自iPhone客户端, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！@四川观察L四川观察的微博视频​,0,0,0,8
四川观察,06月06日00:15,来自微博视频号, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！（ZH）L四川观察的微博视频​,0,1149,980,80594
安徽省体育局,06月06日00:09,来自HUAWEIP40Pro5G, #晚安#以袁隆平、钟南山为代表的科学家们广受热捧，反映了社会积极健康的价值观。一些人并没有漂亮的外表、美妙的歌喉，但是他们信念坚定、踏实敬业、担当奉献、创新求索，是新时代耀眼的星星，值得我们对标学习、追随到底。祝您好梦！​​​,0,0,0,0
中国反邪教,06月06日00:00,来自微博weibo.com, 1981年6月6日，国家科委、农委在北京联合召开授奖大会，授予全国籼型杂交水稻科研协作组袁隆平等人特等发明奖。这是新中国成立以来国家颁发的第一个特等发明奖。#送别袁老鲜花上的卡片将被永存#​,0,159,70,2305
铁路南京站,06月06日07:10,来自微博weibo.com, #历史今日#1981年6月6日，我国水稻育种专家袁隆平荣获中国第一个特等发明奖。​,0,0,0,1
FM985扬州新闻广播,06月06日07:03,来自微博weibo.com," #985早新闻即将播出#（三）◆2021年扬州事业单位面试周末举行，袁隆平院士""禾下乘凉梦""写入考题，扬州考生如何作答？◆近两周消防情况如何？稍后连线扬州市消防救援支队防火处宣传科负责人。◆欢迎收听985早新闻！​",0,0,0,0
青岛新闻广播FM1076,06月06日06:53,来自微博weibo.com, 发布了头条文章：《百年瞬间157|袁隆平荣获新中国第一个特等发明奖》O百年瞬间157|袁隆平荣获新中国第一个特等发明奖​,0,0,0,2
长沙新闻广播,06月06日11:51,来自iPhone客户端, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！L四川观察的微博视频​​​,0,0,0,0
湖北城市之声,06月06日11:50,来自微博视频号, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！L四川观察的微博视频​,0,0,0,2
红网,06月06日11:48,来自微博视频号, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！L四川观察的微博视频​,0,1,2,10
河南省公益文化传播基金会官方,06月06日11:30,来自Android, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！@四川观察L四川观察的微博视频​,0,0,0,0
成都医保,06月06日11:30,来自微博视频号, 【#以袁隆平q版形象为主角的科普动画片#】向所有科研工作者致敬！！（当时我就震惊了）L当时我就震惊了的微博视频​,0,0,0,5
内蒙古广播电视台,06月06日11:29,来自北京日报APP, 【党史日历（6月6日）|袁隆平获得新中国第一个特等发明奖】O网页链接​,0,0,0,0
